journal,issn,nlm_id,categories,group
The journal of pain,1528-8447,100898657,Neurology,general
The journal of spinal cord medicine,2045-7723,9504452,Neurology; Physical and Rehabilitation Medicine,general
The Neurodiagnostic journal,2375-8627,101573167,Neurology,general
The neurologist,2331-2637,9503763,Neurology,general
The neuroradiology journal,2385-1996,101295103,Neurology,general
"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",1089-4098,9504819,Neurology,general
The primary care companion for CNS disorders,2155-7780,101547532,Neurology,general
The quarterly journal of experimental psychology : QJEP,1747-0226,101259775,Neurology,general
Translational neurodegeneration,2047-9158,101591861,Neurology,general
Translational stroke research,1868-601X,101517297,Neurology,general
Tremor and other hyperkinetic movements,2160-8288,101569493,Neurology,general
Trends in neuroscience and education,2211-9493,101613233,Neurology,general
Trends in neurosciences,1878-108X,7808616,Neurology,general
Turkish neurosurgery,2651-5032,9423821,Neurology,general
Visual neuroscience,1469-8714,8809466,Neurology,general
World neurosurgery,1878-8769,101528275,Neurology,general
Zeitschrift für Psychosomatische Medizin und Psychotherapie,2196-8349,100886617,Neurology,general
Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,2309-4729,9712194,Neurology,general
Zhurnal voprosy neĭrokhirurgii imeni N. N. Burdenko,2309-1681,7809757,Neurology,general
American journal of physical medicine & rehabilitation,1537-7385,8803677,Physical and Rehabilitation Medicine,general
Annals of physical and rehabilitation medicine,1877-0665,101502773,Physical and Rehabilitation Medicine,general
Assistive technology : the official journal of RESNA,1949-3614,8917250,Physical and Rehabilitation Medicine,general
Australian occupational therapy journal,1440-1630,15420200R,Physical and Rehabilitation Medicine,general
Brazilian journal of physical therapy,1809-9246,101615124,Physical and Rehabilitation Medicine,general
Canadian journal of occupational therapy.  Revue canadienne d'ergothérapie,1911-9828,0406021,Physical and Rehabilitation Medicine,general
Clinical rehabilitation,1477-0873,8802181,Physical and Rehabilitation Medicine,general
Die Rehabilitation,1439-1309,0401273,Physical and Rehabilitation Medicine,general
Disability and health journal,1876-7583,101306633,Physical and Rehabilitation Medicine,general
Disability and rehabilitation. Assistive technology,1748-3115,101255937,Physical and Rehabilitation Medicine,general
European journal of physical and rehabilitation medicine,1973-9095,101465662,Physical and Rehabilitation Medicine,general
IEEE ... International Conference on Rehabilitation Robotics : [proceedings],1945-7901,101260913,Physical and Rehabilitation Medicine,general
IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,1558-0210,101097023,Physical and Rehabilitation Medicine,general
International journal of rehabilitation research. Internationale Zeitschrift für Rehabilitationsforschung.  Revue internationale de recherches de réadaptation,1473-5660,7805421,Physical and Rehabilitation Medicine,general
Journal of back and musculoskeletal rehabilitation,1878-6324,9201340,Physical and Rehabilitation Medicine,general
Journal of bodywork and movement therapies,1532-9283,9700068,Physical and Rehabilitation Medicine,general
Journal of cardiopulmonary rehabilitation and prevention,1932-751X,101291247,Physical and Rehabilitation Medicine,general
Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science,2374-8060,9700066,Physical and Rehabilitation Medicine,general
Journal of hand therapy : official journal of the American Society of Hand Therapists,1545-004X,8806591,Physical and Rehabilitation Medicine,general
Journal of occupational rehabilitation,1573-3688,9202814,Physical and Rehabilitation Medicine,general
Journal of pediatric rehabilitation medicine,1875-8894,101490944,Physical and Rehabilitation Medicine,general
Journal of physiotherapy,1836-9561,101528691,Physical and Rehabilitation Medicine,general
Journal of sport rehabilitation,1543-3072,9206500,Physical and Rehabilitation Medicine,general
"Journal, physical therapy education",1938-3533,9306054,Physical and Rehabilitation Medicine,general
Musculoskeletal science & practice,2468-7812,101692753,Physical and Rehabilitation Medicine,general
Occupational therapy in health care,1541-3098,8309883,Physical and Rehabilitation Medicine,general
Occupational therapy international,1557-0703,9433361,Physical and Rehabilitation Medicine,general
"Ortopedia, traumatologia, rehabilitacja",2084-4336,101240146,Physical and Rehabilitation Medicine,general
"OTJR : occupation, participation and health",1938-2383,101144015,Physical and Rehabilitation Medicine,general
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association,1538-005X,8912748,Physical and Rehabilitation Medicine,general
Physical & occupational therapy in pediatrics,1541-3144,8109120,Physical and Rehabilitation Medicine,general
Physical medicine and rehabilitation clinics of North America,1558-1381,9102787,Physical and Rehabilitation Medicine,general
Physical therapy,1538-6724,0022623,Physical and Rehabilitation Medicine,general
Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,1873-1600,100940513,Physical and Rehabilitation Medicine,general
Physiotherapy,1873-1465,0401223,Physical and Rehabilitation Medicine,general
Physiotherapy research international : the journal for researchers and clinicians in physical therapy,1471-2865,9612022,Physical and Rehabilitation Medicine,general
Physiotherapy theory and practice,1532-5040,9015520,Physical and Rehabilitation Medicine,general
"PM & R : the journal of injury, function, and rehabilitation",1934-1563,101491319,Physical and Rehabilitation Medicine,general
"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",1573-2649,9210257,Physical and Rehabilitation Medicine,general
Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,2048-7940,8104825,Physical and Rehabilitation Medicine,general
Rehabilitation psychology,1939-1544,0365337,Physical and Rehabilitation Medicine,general
Scandinavian journal of occupational therapy,1651-2014,9502210,Physical and Rehabilitation Medicine,general
The American journal of occupational therapy : official publication of the American Occupational Therapy Association,1943-7676,7705978,Physical and Rehabilitation Medicine,general
The Journal of head trauma rehabilitation,1550-509X,8702552,Physical and Rehabilitation Medicine,general
